Date,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales
01-01-2014,Government,Canada,Carretera,None,1619,3,20,32370,0,32370
01-01-2014,Government,Germany,Carretera,None,1321,3,20,26420,0,26420
01-06-2014,Midmarket,France,Carretera,None,2178,3,15,32670,0,32670
01-06-2014,Midmarket,Germany,Carretera,None,888,3,15,13320,0,13320
01-06-2014,Midmarket,Mexico,Carretera,None,2470,3,15,37050,0,37050
01-12-2014,Government,Germany,Carretera,None,1513,3,350,529550,0,529550
01-03-2014,Midmarket,Germany,Montana,None,921,5,15,13815,0,13815
01-06-2014,Channel Partners,Canada,Montana,None,2518,5,12,30216,0,30216
01-06-2014,Government,France,Montana,None,1899,5,20,37980,0,37980
01-06-2014,Channel Partners,Germany,Montana,None,1545,5,12,18540,0,18540
01-06-2014,Midmarket,Mexico,Montana,None,2470,5,15,37050,0,37050
01-07-2014,Enterprise,Canada,Montana,None,2666,5,125,333188,0,333188
01-08-2014,Small Business,Mexico,Montana,None,958,5,300,287400,0,287400
01-09-2014,Government,Germany,Montana,None,2146,5,7,15022,0,15022
01-10-2013,Enterprise,Canada,Montana,None,345,5,125,43125,0,43125
01-12-2014,Midmarket,United States of America,Montana,None,615,5,15,9225,0,9225
01-02-2014,Government,Canada,Paseo,None,292,10,20,5840,0,5840
01-02-2014,Midmarket,Mexico,Paseo,None,974,10,15,14610,0,14610
01-06-2014,Channel Partners,Canada,Paseo,None,2518,10,12,30216,0,30216
01-06-2014,Government,Germany,Paseo,None,1006,10,350,352100,0,352100
01-07-2014,Channel Partners,Germany,Paseo,None,367,10,12,4404,0,4404
01-08-2014,Government,Mexico,Paseo,None,883,10,7,6181,0,6181
01-09-2013,Midmarket,France,Paseo,None,549,10,15,8235,0,8235
01-09-2013,Small Business,Mexico,Paseo,None,788,10,300,236400,0,236400
01-09-2014,Midmarket,Mexico,Paseo,None,2472,10,15,37080,0,37080
01-10-2014,Government,United States of America,Paseo,None,1143,10,7,8001,0,8001
01-11-2013,Government,Canada,Paseo,None,1725,10,350,603750,0,603750
01-11-2013,Channel Partners,United States of America,Paseo,None,912,10,12,10944,0,10944
01-12-2013,Midmarket,Canada,Paseo,None,2152,10,15,32280,0,32280
01-12-2014,Government,Canada,Paseo,None,1817,10,20,36340,0,36340
01-12-2014,Government,Germany,Paseo,None,1513,10,350,529550,0,529550
01-01-2014,Government,Mexico,Velo,None,1493,120,7,10451,0,10451
01-02-2014,Enterprise,France,Velo,None,1804,120,125,225500,0,225500
01-03-2014,Channel Partners,Germany,Velo,None,2161,120,12,25932,0,25932
01-06-2014,Government,Germany,Velo,None,1006,120,350,352100,0,352100
01-06-2014,Channel Partners,Germany,Velo,None,1545,120,12,18540,0,18540
01-08-2014,Enterprise,United States of America,Velo,None,2821,120,125,352625,0,352625
01-10-2013,Enterprise,Canada,Velo,None,345,120,125,43125,0,43125
01-02-2014,Small Business,Canada,VTT,None,2001,250,300,600300,0,600300
01-04-2014,Channel Partners,Germany,VTT,None,2838,250,12,34056,0,34056
01-06-2014,Midmarket,France,VTT,None,2178,250,15,32670,0,32670
01-06-2014,Midmarket,Germany,VTT,None,888,250,15,13320,0,13320
01-09-2013,Government,France,VTT,None,1527,250,350,534450,0,534450
01-09-2014,Small Business,France,VTT,None,2151,250,300,645300,0,645300
01-12-2014,Government,Canada,VTT,None,1817,250,20,36340,0,36340
